1|1|We are hiring: Senior Software Engineer |2020-07-01 09:29:41
2|2|RT @CodeMineStatus: This is true Amazon Web Services #php #html #html5 #css #webdesign #seo #java #javascript |2020-07-27 10:47:17
3|3|Devops Engineer Aws Ansible Cassandra Mysql Ubuntu Ruby On Rails Jobs in Austin TX #Austin #TX #jobs #jobsearch |2020-07-24 17:00:10
4|4|Happy New Year to all those AWS instances of ours! |2020-07-03 07:11:27
5|5|Amazon is hiring! #Sr. #International Tax Manager - AWS in #Seattle apply now! #jobs |2020-07-06 10:48:52
6|6| #AWS bc of per-region limits test/prod should be in isolated regions. else dev could impact prod #lambda &amp; beyond |2020-07-06 00:03:08
7|7|Isolating dev/prod #aws envs like that is difficult bc of non-ubiquitous service availability. Isn't really a good way around this problem. |2020-07-01 03:05:04
8|8|Isolation at account level would work. #aws alludes to this on pg 17 but this makes identity management difficult |2020-07-21 22:45:23
9|9|Red line vs. green line: Reporting on the most vital Reserved Instance metrics: |2020-07-03 22:29:24
10|10|RT @HPE_BigData: We developed a test drive on AWS. Why is it worth trying? @waltermaguire explains: |2020-07-17 18:39:13
11|11|RT @awscloud: AWS CloudFormation now supports AWS WAF &amp; AWS Directory Service for MS Active Directory. |2020-07-14 20:49:51
12|12|AWS Podcasts  Banter Predicsis Peak Urban Massage Contentful Babbel and Intel IoT |2020-07-13 06:32:56
13|13|Mighty Big Data Set: Month in Review - Lots for big data enthusiasts in December on the AWS Big Data Blog. Take... |2020-07-19 05:01:25
14|14|Limited info out there on #aws dev/prod isolation topic so I guess those are the only options: region OR account. each with diff pros/cons |2020-07-22 16:39:50
15|15|Great read on AWS VPC for startups. #AWSCloud #COMMUNICATE_WELL |2020-07-18 09:05:35
16|16|Is there a cheaper cloud provider that offers everything AWS does? VPCs ELBs SGs RDS elasticache etc? |2020-07-27 17:07:14
17|17|Mighty Batman Set: Month in Review - Lots for Batman enthusiasts in December on the AWS Batman Blog. Take... |2020-07-07 08:05:52
18|18|RT @jeffbarr: Some new #AWS Podcasts  Banter Predicsis Peak Urban Massage Contentful Babbel and Intel IoT - |2020-07-15 22:40:00
19|19|RT @Capgemini: How can your business benefit from catalog-based IT services by #Cloud providers like #AWS? |2020-07-23 02:56:39
20|20|RT @jpaulreed: Happy New Year to all those AWS instances of ours! |2020-07-17 18:30:42
21|21|Learn how to extend #cloud security to #AWS to ensure your organization's data is secure |2020-07-04 16:46:24#
22|22|Microsoft Azure vs Amazon AWS Public Cloud Services |2020-07-15 13:18:03
